Unnamed: 0,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
2,Digi3,Digi,13.0,11.0,9.0,13.0,11.0,11.0,12.0,19
3,Digi4,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5,Profit2,Profit,8.0,10.0,10.0,6.0,9.0,10.0,6.0,19
6,Profit3,Profit,6.0,3.0,2.0,7.0,4.0,3.0,7.0,19
7,Profit4,Profit,4.0,9.0,13.0,3.0,7.0,10.0,2.0,19
8,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
9,Primus2,Primus,12.0,15.0,13.0,11.0,16.0,15.0,10.0,19
10,Primus3,Primus,6.0,2.0,1.0,7.0,3.0,1.0,9.0,19
11,Primus4,Primus,10.0,17.0,22.0,8.0,14.0,18.0,6.0,19
12,Primus5,Primus,1.0,1.0,1.0,0.0,1.0,1.0,0.0,19
13,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
14,Best2,Best,8.0,12.0,13.0,7.0,10.0,12.0,5.0,19
15,Best3,Best,5.0,2.0,1.0,6.0,4.0,2.0,7.0,19
16,Best4,Best,7.0,6.0,3.0,7.0,7.0,5.0,7.0,19
17,Best5,Best,2.0,2.0,1.0,2.0,2.0,1.0,2.0,19
18,Best6,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
19,Mikro1,Mikro,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19
20,Mikro2,Mikro,11.0,3.0,1.0,15.0,6.0,2.0,19.0,19
21,Mikro3,Mikro,3.0,5.0,8.0,2.0,4.0,6.0,2.0,19
0,Digi1,Digi,7.0,5.0,5.0,7.0,5.0,5.0,7.0,13
1,Digi2,Digi,4.0,1.0,0.0,6.0,2.0,1.0,8.0,13
2,Profit1,Profit,12.0,19.0,28.0,11.0,16.0,24.0,10.0,13
3,Profit2,Profit,23.0,20.0,14.0,21.0,22.0,17.0,18.0,13
4,Profit3,Profit,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13
5,Primus1,Primus,11.0,19.0,27.0,10.0,15.0,22.0,10.0,13
6,Primus2,Primus,10.0,9.0,5.0,10.0,10.0,6.0,9.0,13
7,Primus3,Primus,2.0,1.0,0.0,3.0,1.0,0.0,4.0,13
8,Best1,Best,6.0,7.0,7.0,6.0,7.0,8.0,8.0,13
9,Best2,Best,14.0,14.0,10.0,13.0,15.0,12.0,11.0,13
10,Best3,Best,4.0,1.0,0.0,5.0,2.0,1.0,6.0,13
11,Mikro1,Mikro,3.0,3.0,3.0,3.0,3.0,4.0,3.0,13
12,Mikro2,Mikro,2.0,0.0,0.0,3.0,1.0,0.0,5.0,13
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
1,Digi2,Digi,1.0,0.0,0.0,1.0,1.0,0.0,2.0,21
2,Digi3,Digi,12.0,5.0,3.0,14.0,7.0,5.0,14.0,21
3,Digi4,Digi,2.0,2.0,2.0,2.0,1.0,2.0,1.0,21
4,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
5,Profit2,Profit,2.0,2.0,2.0,2.0,2.0,3.0,2.0,21
6,Profit3,Profit,5.0,2.0,1.0,5.0,3.0,2.0,6.0,21
7,Profit4,Profit,11.0,20.0,26.0,9.0,16.0,22.0,6.0,21
8,Profit5,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
9,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
10,Primus2,Primus,7.0,7.0,6.0,6.0,8.0,7.0,6.0,21
11,Primus3,Primus,5.0,2.0,0.0,6.0,3.0,1.0,8.0,21
12,Primus4,Primus,12.0,19.0,23.0,10.0,16.0,20.0,7.0,21
13,Primus5,Primus,3.0,3.0,2.0,3.0,4.0,3.0,3.0,21
14,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
15,Best2,Best,4.0,5.0,5.0,4.0,5.0,5.0,3.0,21
16,Best3,Best,3.0,1.0,0.0,4.0,2.0,1.0,4.0,21
17,Best4,Best,9.0,7.0,3.0,9.0,9.0,5.0,10.0,21
18,Best5,Best,8.0,6.0,4.0,8.0,7.0,5.0,7.0,21
19,Best6,Best,3.0,5.0,7.0,2.0,4.0,5.0,1.0,21
20,Mikro1,Mikro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
21,Mikro2,Mikro,7.0,2.0,0.0,10.0,4.0,1.0,14.0,21
22,Mikro3,Mikro,7.0,11.0,14.0,5.0,8.0,12.0,4.0,21
0,Digi1,Digi,3.0,2.0,4.0,2.0,2.0,3.0,2.0,15
1,Digi2,Digi,4.0,1.0,0.0,6.0,2.0,1.0,8.0,15
2,Digi3,Digi,2.0,1.0,1.0,2.0,1.0,1.0,1.0,15
3,Profit1,Profit,2.0,4.0,7.0,2.0,3.0,6.0,2.0,15
4,Profit2,Profit,19.0,20.0,19.0,17.0,19.0,20.0,14.0,15
5,Profit3,Profit,1.0,0.0,0.0,2.0,0.0,0.0,2.0,15
6,Primus1,Primus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
7,Primus2,Primus,25.0,34.0,31.0,23.0,33.0,33.0,19.0,15
8,Primus3,Primus,5.0,2.0,0.0,7.0,3.0,1.0,8.0,15
9,Primus4,Primus,1.0,3.0,5.0,1.0,2.0,3.0,1.0,15
10,Best1,Best,2.0,2.0,3.0,2.0,2.0,3.0,2.0,15
11,Best2,Best,16.0,20.0,20.0,13.0,18.0,19.0,10.0,15
12,Best3,Best,8.0,4.0,1.0,10.0,5.0,2.0,11.0,15
13,Best4,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
14,Mikro1,Mikro,2.0,3.0,6.0,1.0,2.0,4.0,1.0,15
15,Mikro2,Mikro,9.0,3.0,1.0,13.0,5.0,2.0,17.0,15
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
1,Digi2,Digi,4.0,1.0,0.0,5.0,2.0,1.0,7.0,18
2,Digi3,Digi,11.0,8.0,6.0,10.0,8.0,8.0,9.0,18
3,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4,Profit2,Profit,11.0,13.0,14.0,9.0,12.0,14.0,8.0,18
5,Profit3,Profit,5.0,2.0,1.0,6.0,3.0,2.0,6.0,18
6,Profit4,Profit,2.0,6.0,10.0,2.0,4.0,7.0,1.0,18
7,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
8,Primus2,Primus,16.0,20.0,17.0,15.0,21.0,21.0,13.0,18
9,Primus3,Primus,4.0,1.0,0.0,5.0,3.0,1.0,7.0,18
10,Primus4,Primus,7.0,13.0,16.0,6.0,10.0,14.0,4.0,18
11,Primus5,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
12,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
13,Best2,Best,13.0,21.0,25.0,10.0,17.0,21.0,7.0,18
14,Best3,Best,7.0,3.0,1.0,9.0,5.0,2.0,10.0,18
15,Best4,Best,7.0,6.0,3.0,7.0,7.0,4.0,6.0,18
16,Bestb,Best,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18
17,Mikro1,Mikro,0.0,1.0,2.0,0.0,0.0,1.0,0.0,18
18,Mikro2,Mikro,11.0,3.0,1.0,15.0,6.0,2.0,20.0,18
19,Mikro3,Mikro,1.0,2.0,2.0,1.0,1.0,2.0,1.0,18
0,Digi1,Digi,5.0,4.0,5.0,4.0,4.0,5.0,4.0,14
1,Digi2,Digi,5.0,1.0,0.0,7.0,3.0,1.0,9.0,14
2,Digi3,Digi,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14
3,Profit1,Profit,5.0,6.0,9.0,4.0,6.0,9.0,5.0,14
4,Profit2,Profit,16.0,13.0,9.0,15.0,15.0,12.0,14.0,14
5,Profit3,Profit,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14
6,Primus1,Primus,8.0,16.0,31.0,7.0,11.0,22.0,7.0,14
7,Primus2,Primus,26.0,31.0,23.0,24.0,31.0,26.0,19.0,14
8,Primus3,Primus,4.0,1.0,0.0,6.0,3.0,1.0,6.0,14
9,Best1,Best,4.0,5.0,6.0,4.0,4.0,6.0,5.0,14
10,Best2,Best,15.0,16.0,13.0,13.0,16.0,14.0,11.0,14
11,Best3,Best,6.0,2.0,1.0,8.0,4.0,1.0,9.0,14
12,Mikro1,Mikro,2.0,2.0,3.0,1.0,2.0,2.0,1.0,14
13,Mikro2,Mikro,4.0,1.0,0.0,6.0,2.0,0.0,9.0,14
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
1,Digi2,Digi,5.0,2.0,1.0,7.0,3.0,1.0,9.0,16
2,Digi3,Digi,5.0,5.0,5.0,5.0,5.0,5.0,3.0,16
3,Profit1,Profit,1.0,2.0,3.0,1.0,1.0,3.0,1.0,16
4,Profit2,Profit,18.0,20.0,20.0,15.0,19.0,20.0,13.0,16
5,Profit3,Profit,2.0,0.0,0.0,3.0,1.0,0.0,4.0,16
6,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
7,Primus2,Primus,26.0,35.0,34.0,23.0,34.0,35.0,19.0,16
8,Primus3,Primus,3.0,1.0,0.0,5.0,2.0,1.0,6.0,16
9,Primus4,Primus,2.0,3.0,5.0,1.0,3.0,4.0,1.0,16
10,Best1,Best,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16
11,Best2,Best,14.0,20.0,23.0,11.0,18.0,20.0,9.0,16
12,Best3,Best,9.0,5.0,2.0,11.0,7.0,3.0,12.0,16
13,Best4,Best,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16
14,Mikro1,Mikro,1.0,2.0,4.0,1.0,1.0,3.0,0.0,16
15,Mikro2,Mikro,11.0,3.0,1.0,15.0,6.0,2.0,20.0,16
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
1,Digi2,Digi,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22
2,Digi3,Digi,11.0,5.0,2.0,14.0,7.0,5.0,15.0,22
3,Digi4,Digi,5.0,5.0,6.0,4.0,4.0,5.0,3.0,22
4,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
5,Profit2,Profit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
6,Profit3,Profit,3.0,1.0,1.0,4.0,2.0,1.0,5.0,22
7,Profit4,Profit,12.0,20.0,24.0,10.0,17.0,22.0,8.0,22
8,Profit5,Profit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
9,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
10,Primus2,Primus,5.0,5.0,3.0,4.0,5.0,4.0,4.0,22
11,Primus3,Primus,3.0,1.0,0.0,4.0,2.0,1.0,6.0,22
12,Primus4,Primus,12.0,19.0,23.0,11.0,17.0,21.0,8.0,22
13,Primus5,Primus,6.0,6.0,4.0,7.0,7.0,5.0,6.0,22
14,Primus6,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
15,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
16,Best2,Best,3.0,3.0,3.0,2.0,3.0,4.0,2.0,22
17,Best3,Best,2.0,1.0,0.0,2.0,1.0,1.0,3.0,22
18,Best4,Best,7.0,5.0,2.0,7.0,6.0,3.0,8.0,22
19,Best5,Best,8.0,6.0,4.0,9.0,7.0,5.0,9.0,22
20,Best6,Best,6.0,9.0,12.0,4.0,7.0,9.0,3.0,22
21,Mikro1,Mikro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,Mikro2,Mikro,6.0,1.0,0.0,8.0,3.0,1.0,12.0,22
23,Mikro3,Mikro,7.0,10.0,13.0,6.0,9.0,11.0,5.0,22
