,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
1,Digi2,Digi,4.0,1.0,0.0,5.0,2.0,1.0,7.0,18
2,Digi3,Digi,11.0,8.0,6.0,10.0,8.0,8.0,9.0,18
3,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4,Profit2,Profit,11.0,13.0,14.0,9.0,12.0,14.0,8.0,18
5,Profit3,Profit,5.0,2.0,1.0,6.0,3.0,2.0,6.0,18
6,Profit4,Profit,2.0,6.0,10.0,2.0,4.0,7.0,1.0,18
7,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
8,Primus2,Primus,16.0,20.0,17.0,15.0,21.0,21.0,13.0,18
9,Primus3,Primus,4.0,1.0,0.0,5.0,3.0,1.0,7.0,18
10,Primus4,Primus,7.0,13.0,16.0,6.0,10.0,14.0,4.0,18
11,Primus5,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
12,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
13,Best2,Best,13.0,21.0,25.0,10.0,17.0,21.0,7.0,18
14,Best3,Best,7.0,3.0,1.0,9.0,5.0,2.0,10.0,18
15,Best4,Best,7.0,6.0,3.0,7.0,7.0,4.0,6.0,18
16,Bestb,Best,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18
17,Mikro1,Mikro,0.0,1.0,2.0,0.0,0.0,1.0,0.0,18
18,Mikro2,Mikro,11.0,3.0,1.0,15.0,6.0,2.0,20.0,18
19,Mikro3,Mikro,1.0,2.0,2.0,1.0,1.0,2.0,1.0,18
