Unnamed: 0,Company,1,2,3,4,5,6,sum,Period
0,Digi,0.0,700.0,1000.0,0.0,0.0,0.0,1700.0,18
1,Profit,0.0,500.0,500.0,700.0,0.0,0.0,1700.0,18
2,Primus,0.0,700.0,300.0,600.0,200.0,0.0,1800.0,18
3,Best,0.0,800.0,800.0,800.0,300.0,0.0,2700.0,18
4,Mikro,100.0,500.0,900.0,0.0,0.0,0.0,1500.0,18
0,Digi,0.0,600.0,800.0,0.0,0.0,0.0,1400.0,16
1,Profit,0.0,900.0,600.0,0.0,0.0,0.0,1500.0,16
2,Primus,0.0,800.0,400.0,700.0,0.0,0.0,1900.0,16
3,Best,0.0,700.0,700.0,300.0,0.0,0.0,1700.0,16
4,Mikro,200.0,600.0,0.0,0.0,0.0,0.0,800.0,16
0,Digi,700.0,800.0,800.0,0.0,0.0,0.0,2300.0,14
1,Profit,329.0,658.0,329.0,0.0,0.0,0.0,1316.0,14
2,Primus,600.0,1200.0,500.0,0.0,0.0,0.0,2300.0,14
3,Best,400.0,800.0,500.0,0.0,0.0,0.0,1700.0,14
4,Mikro,500.0,900.0,0.0,0.0,0.0,0.0,1400.0,14
0,Digi,0.0,0.0,1000.0,700.0,0.0,0.0,1700.0,21
1,Profit,0.0,0.0,500.0,700.0,400.0,0.0,1600.0,21
2,Primus,0.0,600.0,300.0,800.0,400.0,0.0,2100.0,21
3,Best,0.0,400.0,400.0,500.0,500.0,400.0,2200.0,21
4,Mikro,0.0,800.0,800.0,0.0,0.0,0.0,1600.0,21
0,Digi,500.0,800.0,800.0,0.0,0.0,0.0,2100.0,15
1,Profit,329.0,800.0,400.0,0.0,0.0,0.0,1529.0,15
2,Primus,50.0,800.0,600.0,1200.0,0.0,0.0,2650.0,15
3,Best,100.0,800.0,600.0,200.0,0.0,0.0,1700.0,15
4,Mikro,200.0,800.0,0.0,0.0,0.0,0.0,1000.0,15
0,Digi,0.0,600.0,800.0,400.0,0.0,0.0,1800.0,19
1,Profit,0.0,400.0,500.0,700.0,0.0,0.0,1600.0,19
2,Primus,0.0,600.0,600.0,600.0,200.0,0.0,2000.0,19
3,Best,0.0,400.0,400.0,400.0,200.0,100.0,1500.0,19
4,Mikro,100.0,900.0,900.0,0.0,0.0,0.0,1900.0,19
0,Digi,600.0,600.0,0.0,0.0,0.0,0.0,1200.0,13
1,Profit,329.0,658.0,329.0,0.0,0.0,0.0,1316.0,13
2,Primus,400.0,600.0,300.0,0.0,0.0,0.0,1300.0,13
3,Best,600.0,600.0,500.0,0.0,0.0,0.0,1700.0,13
4,Mikro,400.0,700.0,0.0,0.0,0.0,0.0,1100.0,13
0,Digi,0.0,100.0,800.0,600.0,0.0,0.0,1500.0,22
1,Profit,0.0,0.0,400.0,700.0,500.0,0.0,1600.0,22
2,Primus,0.0,300.0,200.0,600.0,400.0,200.0,1700.0,22
3,Best,0.0,200.0,100.0,400.0,400.0,500.0,1600.0,22
4,Mikro,0.0,500.0,700.0,0.0,0.0,0.0,1200.0,22
0,Digi,0.0,700.0,1200.0,550.0,0.0,0.0,2450.0,20
1,Profit,0.0,40.0,500.0,700.0,0.0,0.0,1600.0,20
2,Primus,0.0,800.0,500.0,800.0,300.0,0.0,2400.0,20
3,Best,0.0,400.0,500.0,500.0,400.0,300.0,2100.0,20
4,Mikro,100.0,800.0,900.0,0.0,0.0,0.0,1800.0,20
0,Digi,0.0,700.0,900.0,0.0,0.0,0.0,1600.0,17
1,Profit,0.0,500.0,500.0,600.0,0.0,0.0,1600.0,17
2,Primus,50.0,1000.0,500.0,900.0,0.0,0.0,2450.0,17
3,Best,0.0,800.0,800.0,700.0,200.0,0.0,2500.0,17
4,Mikro,100.0,500.0,1000.0,0.0,0.0,0.0,1600.0,17
0,Digi,0.0,700.0,900.0,0.0,0.0,0.0,1600.0,17
1,Profit,0.0,500.0,500.0,600.0,0.0,0.0,1600.0,17
2,Primus,50.0,1000.0,500.0,900.0,0.0,0.0,2450.0,17
3,Best,0.0,800.0,800.0,700.0,200.0,0.0,2500.0,17
4,Mikro,100.0,500.0,1000.0,0.0,0.0,0.0,1600.0,17
0,Digi,0.0,300.0,1000.0,800.0,0.0,0.0,2100.0,23
1,Profit,0.0,50.0,400.0,700.0,500.0,0.0,1650.0,23
2,Primus,0.0,300.0,200.0,700.0,700.0,400.0,2300.0,23
3,Best,0.0,100.0,100.0,500.0,600.0,700.0,2000.0,23
4,Mikro,0.0,500.0,6000.0,0.0,0.0,0.0,6500.0,23
