,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
1,Digi2,Digi,5.0,2.0,1.0,6.0,3.0,1.0,8.0,17
2,Digi3,Digi,8.0,8.0,7.0,7.0,7.0,8.0,6.0,17
3,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
4,Profit2,Profit,15.0,17.0,18.0,12.0,16.0,18.0,10.0,17
5,Profit3,Profit,4.0,1.0,0.0,4.0,2.0,1.0,5.0,17
6,Profit4,Profit,1.0,1.0,2.0,0.0,1.0,1.0,0.0,17
7,Primus1,Primus,0.0,1.0,8.0,0.0,0.0,2.0,0.0,17
8,Primus2,Primus,23.0,33.0,31.0,21.0,32.0,33.0,17.0,17
9,Primus3,Primus,6.0,3.0,1.0,8.0,4.0,2.0,10.0,17
10,Primus4,Primus,4.0,8.0,11.0,3.0,6.0,9.0,2.0,17
11,Best1,Best,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17
12,Best2,Best,11.0,14.0,14.0,8.0,13.0,14.0,7.0,17
13,Best3,Best,8.0,3.0,1.0,9.0,5.0,2.0,10.0,17
14,Best4,Best,3.0,2.0,1.0,3.0,2.0,1.0,3.0,17
15,Bestb,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
16,Mikro1,Mikro,1.0,1.0,3.0,0.0,1.0,2.0,0.0,17
17,Mikro2,Mikro,12.0,4.0,1.0,16.0,6.0,2.0,21.0,17
18,Mikro3,Mikro,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17
