,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,1","0,2","0,1","0,1","0,1",22
1,Digi2,Digi,"1,8","1,8","1,8","1,2","1,2",22
2,Digi3,Digi,"0,9","2,6","1,8","1,8","2,6",22
3,Digi4,Digi,"1,0","2,0","1,0","1,0","1,0",22
4,Profit1,Profit,"0,1","0,1","0,1","0,1","0,1",22
5,Profit2,Profit,"1,2","0,6","1,2","0,6","1,2",22
6,Profit3,Profit,"0,8","2,3","0,8","1,5","2,3",22
7,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",22
8,Profit5,Profit,"2,0","1,0","2,0","1,0","2,0",22
9,Primus1,Primus,"0,1","0,1","0,1","0,1","0,1",22
10,Primus2,Primus,"1,2","0,6","1,8","1,2","0,6",22
11,Primus3,Primus/,"2,0","2,0","2,0","2,0","1,4",22
12,Primus4,Primus,"0,9","0,9","1,9","0,9","0,9",22
13,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",22
14,Primus6,Primus,"3,0","3,0","3,0","3,0","2,0",22
15,Best1,Best,"0,1","0,1","0,1","0,2","0,1",22
16,Best2,Best,"1,2","0,6","1,2","0,6","1,2",22
17,Best3,Best,"1,4","2,0","2,0","1,4","0,7",22
18,Best4,Best,"2,8","0,9","2,8","1,9","0,9",22
19,Best5,Best,"2,0","2,0","2,0","2,0","1,0",22
20,Best6,Best,"2,0","1,0","1,0","1,0","1,0",22
21,Mikro1,Mikro,"0,1","0,1","0,1","0,1","0,1",22
22,Mikro2,Mikro,"2,3","2,3","2,3","2,3","2,3",22
23,Mikro3,Mikro,"1,0","1,0","1,0","1,0","1,0",22
