,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,6","1,8","0,6","0,6","0,6",13
1,Digi2,Digi,"3,0","3,0","3,0","2,0","1,0",13
2,Profit1,Profit,"0,6","0,6","0,6","1,2","0,6",13
3,Profit2,Profit,"2,0","1,0","2,0","1,0","2,0",13
4,Profit3,Profit,"1,0","3,0","1,0","1,0","3,0",13
5,Primus1,Primus,"0,6","0,6","0,6","1,2","0,6",13
6,Primus2,Primus,"2,0","1,0","3,0","1,0","1,0",13
7,Primus3,Primus,"3,0","2,0","3,0","2,0","2,0",13
8,Best1,Best,"0,6","0,6","0,6","1,8","0,6",13
9,Best2,Best,"2,0","1,0","2,0","1,0","1,0",13
10,Best3,Best,"2,0","3,0","3,0","2,0","1,0",13
11,Mikro1,Mikro,"0,6","0,6","0,6","0,6","0,6",13
12,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",13
