,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,3","1,0","0,3","0,3","0,3",17
1,Digi2,Digi,"2,8","2,8","2,8","1,9","1,9",17
2,Digi3,Digi,"1,0","2,0","2,0","1,0","2,0",17
3,Profit1,Profit,"0,3","0,3","0,3","0,7","0,3",17
4,Profit2,Profit,"1,9","0,9","1,9","0,9","1,9",17
5,Profit3,Profit,"1,0","3,0","1,0","2,0","3,0",17
6,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",17
7,Primus1,Primus,"0,3","0,3","0,3","0,7","0,3",17
8,Primus2,Primus,"1,9","0,9","2,8","1,9","0,9",17
9,Primus3,Primus,"3,0","2,0","3,0","3,0","2,0",17
10,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",17
11,Best1,Best,"0,3","0,3","0,3","1,0","0,3",17
12,Best2,Best,"1,9","0,9","1,9","0,9","0,9",17
13,Best3,Best,"2,0","3,0","3,0","2,0","1,0",17
14,Best4,Best,"3,0","1,0","3,0","2,0","1,0",17
15,Best5,Best,"2,0","2,0","2,0","2,0","1,0",17
16,Mikro1,Mikro,"0,3","0,3","0,3","0,3","0,3",17
17,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",17
18,Mikro3,Mikro,"1,0","1,0","1,0","1,0","1,0",17
