,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,5","1,6","0,5","0,5","0,5",14
1,Digi2,Digi,"3,0","3,0","3,0","2,0","1,0",14
2,Digi3,Digi,"1,0","2,0","2,0","1,0","2,0",14
3,Profit1,Profit,"0,5","0,5","0,5","1,1","0,5",14
4,Profit2,Profit,"2,0","1,0","2,0","1,0","2,0",14
5,Profit3,Profit,"1,0","3,0","1,0","2,0","3,0",14
6,Primus1,Primus,"0,5","0,5","0,5","1,1","0,5",14
7,Primus2,Primus,"2,0","1,0","3,0","2,0","1,0",14
8,Primus3,Primus,"3,0","2,0","3,0","2,0","2,0",14
9,Best1,Best,"0,5","0,5","0,5","1,6","0,5",14
10,Best2,Best,"2,0","1,0","2,0","1,0","1,0",14
11,Best3,Best,"2,0","3,0","3,0","2,0","1,0",14
12,Mikro1,Mikro,"0,5","0,5","0,5","0,5","0,5",14
13,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",14
