,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,1","0,3","0,1","0,1","0,1",20
1,Digi2,Digi,"2,3","2,3","2,3","1,5","1,5",20
2,Digi3,Digi,"1,0","2,0","2,0","2,0","3,0",20
3,Digi4,Digi,"1,0","2,0","1,0","1,0","1,0",20
4,Profit1,Profit,"0,1","0,1","0,1","0,2","0,1",20
5,Profit2,Profit,"1,5","0,8","1,5","0,8","1,5",20
6,Profit3,Profit,"0,9","2,6","0,9","1,8","2,6",20
7,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",20
8,Primus1,Primus,"0,1","0,1","0,1","0,2","0,1",20
9,Primus2,Primus,"1,5","0,8",23.0,"1,5","0,8",20
10,Primus3,Primus,"2,5",25.0,25.0,"2,5","1,6",20
11,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",20
12,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",20
13,Best1,Best,"0,1","0,1","0,1","0,3","0,1",20
14,Best2,Best,"1,5","0,8","1,5","0,8","1,5",20
15,Best3,Best,"1,6",25.0,25.0,"1,6","0,8",20
16,Best4,Best,"3,0","1,0","3,0","2,0","1,0",20
17,Best5,Best,"2,0","2,0","2,0","2,0","1,0",20
18,Best6,Best,"2,0","1,0","1,0","1,0","1,0",20
