,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,4","1,2","0,4","0,4","0,4",16
1,Digi2,Digi,"3,0","3,0","3,0","2,0","2,0",16
2,Digi3,Digi,"1,0","2,0","2,0","1,0","2,0",16
3,Profit1,Profit,"0,4","0,4","0,4","0,8","0,4",16
4,Profit2,Profit,"2,0","1,0","2,0","1,0","2,0",16
5,Profit3,Profit,"1,0","3,0","1,0","2,0","3,0",16
6,Primus1,Primus,"0,4","0,4","0,4","0,8","0,4",16
7,Primus2,Primus,"2,0","1,0","3,0","2,0","1,0",16
8,Primus3,Primus,"3,0","2,0","3,0","3,0","2,0",16
9,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",16
10,Best1,Best,"0,4","0,4","0,4","1,2","0,4",16
11,Best2,Best,"2,0","1,0","2,0","1,0","1,0",16
12,Best3,Best,"2,0","3,0","3,0","2,0","1,0",16
13,Best4,Best,"3,0","1,0","3,0","2,0","1,0",16
14,Mikro1,Mikro,"0,4","0,4","0,4","0,4","0,4",16
15,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",16
