,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,1","0,2","0,1","0,1","0,1",23
1,Digi2,Digi,"1,6","1,6","1,6","1,1","1,1",23
2,Digi3,Digi,"0,8","2,5","1,6","1,6","2,5",23
3,Digi4,Digi,"1,0","2,0","1,0","2,0","1,0",23
4,Profit1,Profit,"0,1","0,1","0,1","0,1","0,1",23
5,Profit2,Profit,"1,1","0,5","1,1","0,5","1,1",23
6,Profit3,Profit,"0,7","2,0","0,7","1,4","2,0",23
7,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",23
8,Profit5,Profit,"2,0","1,0","2,0","1,0","2,0",23
9,Primus1,Primus,"0,1","0,1","0,1","0,1","0,1",23
10,Primus2,Primus,"1,1","0,5","1,6","1,1","0,5",23
11,Primus3,Primus,"1,8","1,8","1,8","1,8","1,2",23
12,Primus4,Primus,"0,9","0,9","1,8","0,9","0,9",23
13,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",23
14,Primus6,Primus,"3,0","3,0","3,0","3,0","2,0",23
15,Best1,Best,"0,1","0,1","0,1","0,2","0,1",23
16,Best2,Best,"1,1","0,5","1,1","0,5","1,1",23
17,Best3,Best,"1,2","1,8","1,8","1,2","0,6",23
18,Best4,Best,"2,6","0,9","2,6","1,8","0,9",23
19,Best5,Best,"2,0","2,0","2,0","2,0","1,0",23
20,Best6,Best,"2,0","1,0","1,0","1,0","1,0",23
21,Mikro1,Mikro,"0,1","0,1","0,1","0,1","0,1",23
22,Mikro2,Mikro,"2,0","2,0","2,0","2,0","2,0",23
23,Mikro3,Mikro,"1,0","1,0","1,0","1,0","1,0",23
