,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
1,Digi2,Digi,3.0,1.0,0.0,3.0,2.0,1.0,4.0,20
2,Digi3,Digi,11.0,6.0,4.0,12.0,8.0,6.0,12.0,20
3,Digi4,Digi,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20
4,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5,Profit2,Profit,6.0,7.0,7.0,5.0,6.0,7.0,4.0,20
6,Profit3,Profit,6.0,3.0,2.0,7.0,4.0,3.0,7.0,20
7,Profit4,Profit,8.0,17.0,24.0,6.0,13.0,19.0,4.0,20
8,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
9,Primus2,Primus,9.0,11.0,9.0,9.0,12.0,11.0,8.0,20
10,Primus3,Primus,6.0,2.0,1.0,7.0,3.0,1.0,9.0,20
11,Primus4,Primus,10.0,16.0,19.0,8.0,14.0,17.0,6.0,20
12,Primus5,Primus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20
13,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
14,Best2,Best,7.0,8.0,9.0,5.0,8.0,9.0,4.0,20
15,Best3,Best,5.0,2.0,1.0,6.0,4.0,2.0,6.0,20
16,Best4,Best,8.0,6.0,3.0,8.0,8.0,5.0,8.0,20
17,Best5,Best,5.0,4.0,3.0,4.0,4.0,4.0,4.0,20
18,Best6,Best,1.0,2.0,3.0,1.0,1.0,2.0,0.0,20
19,Mikro1,Mikro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
20,Mikro2,Mikro,9.0,3.0,1.0,13.0,5.0,2.0,17.0,20
21,Mikro3,Mikro,5.0,9.0,13.0,4.0,6.0,10.0,3.0,20
