,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,1","0,2","0,1","0,1","0,1",21
1,Digi2,Digi,"2,0","2,0","2,0","1,4","1,4",21
2,Digi3,Digi,"0,9","2,8","1,9","1,9","2,8",21
3,Digi4,Digi,"1,0","2,0","1,0","1,0","1,0",21
4,Profit1,Profit,"0,1","0,1","0,1","0,1","0,1",21
5,Profit2,Profit,"1,4","0,7","1,4","0,7","1,4",21
6,Profit3,Profit,"0,8","2,5","0,8","1,6","2,5",21
7,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",21
8,Profit5,Profit,"2,0","1,0","2,0","1,0","2,0",21
9,Primus1,Primus,"0,1","0,1","0,1","0,1","0,1",21
10,Primus2,Primus,"1,4","0,7","2,0","1,4","0,7",21
11,Primus3,Primus,"2,3","2,3","2,3",23.0,"1,5",21
12,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",21
13,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",21
14,Best1,Best,"0,1","0,1","0,1","0,2","0,1",21
15,Best2,Best,"1,4","0,7","1,4","0,7","1,4",21
16,Best3,Best,"1,5",23.0,23.0,"1,5","0,8",21
17,Best4,Best,"3,0","1,0","3,0","2,0","1,0",21
18,Best5,Best,"2,0","2,0","2,0","2,0","1,0",21
19,Best6,Best,"2,0","1,0","1,0","1,0","1,0",21
20,Mikro1,Mikro,"0,1","0,1","0,1","0,1","0,1",21
21,Mikro2,Mikro,"2,5","2,5","2,5",25.0,25.0,21
22,Mikro3,Mikro,"1,0","1,0","1,0","1,0","1,0",21
