,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,5","1,4","0,5","0,5","0,5",15
1,Digi2,Digi,"3,0","3,0","3,0","2,0","1,0",15
2,Digi3,Digi,"1,0","2,0","2,0","1,0","2,0",15
3,Profit1,Profit,"0,5","0,5","0,5","0,9","0,5",15
4,Profit2,Profit,"2,0","1,0","2,0","1,0","2,0",15
5,Profit3,Profit,"1,0","3,0","1,0","2,0","3,0",15
6,Primus1,Primus,"0,5","0,5","0,5","0,9","0,5",15
7,Primus2,Primus,"2,0","1,0","3,0","2,0","1,0",15
8,Primus3,Primus,"3,0","2,0","3,0","3,0","2,0",15
9,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",15
10,Best1,Best,"0,5","0,5","0,5","1,4","0,5",15
11,Best2,Best,"2,0","1,0","2,0","1,0","1,0",15
12,Best3,Best,"2,0","3,0","3,0","2,0","1,0",15
13,Best4,Best,"3,0","1,0","3,0","2,0","1,0",15
14,Mikro1,Mikro,"0,5","0,5","0,5","0,5","0,5",15
15,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",15
