,Model,Company,Durability,Design,Connectivity,Maintenance,Accessories,Period
0,Digi1,Digi,"0,3","0,8","0,3","0,3","0,3",18
1,Digi2,Digi,"2,6","2,6","2,6","1,8","1,8",18
2,Digi3,Digi,"1,0","2,0","2,0","1,0","3,0",18
3,Profit1,Profit,"0,3","0,3","0,3","0,5","0,3",18
4,Profit2,Profit,"1,8","0,9","1,8","0,9","1,8",18
5,Profit3,Profit,"1,0","3,0","1,0","2,0","3,0",18
6,Profit4,Profit,"1,0","1,0","2,0","1,0","1,0",18
7,Primus1,Primus,"0,3","0,3","0,3","0,5","0,3",18
8,Primus2,Primus,"1,8","0,9","2,6","1,8","0,9",18
9,Primus3,Primus,"2,8","1,9","2,8","2,8","1,9",18
10,Primus4,Primus,"1,0","1,0","2,0","1,0","1,0",18
11,Primus5,Primus,"2,0","1,0","2,0","2,0","1,0",18
12,Best1,Best,"0,3","0,3","0,3","0,8","0,3",18
13,Best2,Best,"1,8","0,9","1,8","0,9","0,9",18
14,Best3,Best,"1,9","2,8","2,8","1,9","0,9",18
15,Best4,Best,"3,0","1,0","3,0","2,0","1,0",18
16,Bestb,Best,"2,0","2,0","2,0","2,0","1,0",18
17,Mikro1,Mikro,"0,3","0,3","0,3","0,3","0,3",18
18,Mikro2,Mikro,"3,0","3,0","3,0","3,0","3,0",18
19,Mikro3,Mikro,"1,0","1,0","1,0","1,0","1,0",18
